 1 puckman           "PuckMan (Japan set 1)"
 2 falcon            "Falcon (bootleg of Phoenix) (8085A CPU)"
 2 vautour           "Vautour (bootleg of Phoenix) (8085A CPU)"
 2 falconz           "Falcon (bootleg of Phoenix) (Z80 CPU)"
 2 vautourz          "Vautour (bootleg of Phoenix) (Z80 CPU)"
 2 griffon           "Griffon (bootleg of Phoenix)"
 2 nextfase          "Next Fase (bootleg of Phoenix)"
 2 pleiads           "Pleiads (Tehkan)"
 2 pleiadbl          "Pleiads (bootleg)"
 2 pleiadce          "Pleiads (Centuri)"
 2 capitol           "Capitol"
 2 survival          "Survival"
 2 naughtyb          "Naughty Boy"
 2 naughtyba         "Naughty Boy (bootleg)"
 2 naughtybc         "Naughty Boy (Cinematronics)"
 2 popflame          "Pop Flamer (protected)"
 2 popflamea         "Pop Flamer (not protected)"
 2 popflameb         "Pop Flamer (hack?)"
 2 popflamen         "Pop Flamer (bootleg on Naughty Boy PCB)"
 2 trvmstr           "Trivia Master (set 1)"
 2 trvmstra          "Trivia Master (set 2)"
 2 trvmstrb          "Trivia Master (set 3)"
 2 trvmstrc          "Trivia Master (set 4)"
 2 trvgns            "Trivia Genius"
 2 geebee            "Gee Bee (Japan)"
 2 geebeeb           "Gee Bee (Europe)"
 2 geebeeg           "Gee Bee (US)"
 2 bombbee           "Bomb Bee"
 2 cutieq            "Cutie Q"
 2 navarone          "Navarone"
 2 kaitein           "Kaitei Takara Sagashi (Namco license)"
 2 kaitei            "Kaitei Takara Sagashi"
 2 sos               "SOS"
 2 tankbatt          "Tank Battalion"
 2 warpwarp          "Warp & Warp"
 2 warpwarpr         "Warp Warp (Rock-Ola set 1)"
 2 warpwarpr2        "Warp Warp (Rock-Ola set 2)"
 2 rallyx            "Rally X (32k Ver.?)"
 2 rallyxa           "Rally X"
 2 rallyxm           "Rally X (Midway)"
 2 nrallyx           "New Rally X"
 2 nrallyxb          "New Rally X (bootleg?) "
 2 jungler           "Jungler"
 2 junglers          "Jungler (Stern Electronics)"
 2 tactcian          "Tactician (set 1)"
 2 tactcian2         "Tactician (set 2)"
 2 locomotn          "Loco-Motion"
 2 gutangtn          "Guttang Gottong"
 2 cottong           "Cotocoto Cottong"
 2 locoboot          "Loco-Motion (bootleg)"
 2 commsega          "Commando (Sega)"
 2 bosco             "Bosconian (new version)"
 2 boscoo            "Bosconian (old version)"
 2 boscoo2           "Bosconian (older version)"
 2 boscomd           "Bosconian (Midway, new version)"
 2 boscomdo          "Bosconian (Midway, old version)"
 2 galaga            "Galaga (Namco rev. B)"
 2 galagao           "Galaga (Namco)"
 2 galagamw          "Galaga (Midway set 1)"
 2 galagamk          "Galaga (Midway set 2)"
 2 galagamf          "Galaga (Midway set 1 with fast shoot hack)"
 2 gallag            "Gallag"
 2 gatsbee           "Gatsbee"
 2 digdug            "Dig Dug (rev 2)"
 2 digdug1           "Dig Dug (rev 1)"
 2 digdugat          "Dig Dug (Atari, rev 2)"
 2 digdugat1         "Dig Dug (Atari, rev 1)"
 2 dzigzag           "Zig Zag (Dig Dug hardware)"
 2 digsid            "Dig Dug (manufactured by Sidam)"
 2 xevious           "Xevious (Namco)"
 2 xeviousa          "Xevious (Atari, harder)"
 2 xeviousb          "Xevious (Atari)"
 2 xeviousc          "Xevious (Atari, Namco PCB)"
 2 xevios            "Xevios"
 2 battles           "Battles"
 2 sxevious          "Super Xevious"
 2 sxeviousj         "Super Xevious (Japan)"
 2 superpac          "Super Pac-Man"
 2 superpacm         "Super Pac-Man (Midway)"
 2 pacnpal           "Pac & Pal"
 2 pacnpal2          "Pac & Pal (older)"
 2 pacnchmp          "Pac-Man & Chomp Chomp"
 2 phozon            "Phozon (Japan)"
 2 mappy             "Mappy (US)"
 2 mappyj            "Mappy (Japan)"
 2 digdug2           "Dig Dug II (New Ver.)"
 2 digdug2o          "Dig Dug II (Old Ver.)"
 2 todruaga          "Tower of Druaga (New Ver.)"
 2 todruagao         "Tower of Druaga (Old Ver.)"
 2 todruagas         "Tower of Druaga (Sidam)"
 2 motos             "Motos"
 2 grobda            "Grobda (New Ver.)"
 2 grobda2           "Grobda (Old Ver. set 1)"
 2 grobda3           "Grobda (Old Ver. set 2)"
 2 gaplus            "Gaplus (rev. D)"
 2 gaplusa           "Gaplus (alternate hardware)"
 2 gapluso           "Gaplus (rev. B)"
 2 galaga3           "Galaga 3 (rev. C)"
 2 galaga3m          "Galaga 3 (set 3)"
 2 galaga3a          "Galaga 3 (set 2)"
 3 liblrabl          "Libble Rabble"
 3 toypop            "Toypop"
 3 polepos           "Pole Position"
 3 poleposa          "Pole Position (Atari version 2)"
 3 polepos1          "Pole Position (Atari version 1)"
 3 topracer          "Top Racer (with MB8841 + MB8842, 1984)"
 3 topracera         "Top Racer (with MB8841 + MB8842, 1983)"
 3 topracern         "Top Racer (no MB8841 + MB8842)"
 3 polepos2          "Pole Position II"
 3 polepos2a         "Pole Position II (Atari)"
 3 polepos2b         "Pole Position II (bootleg)"
 3 polepos2bi        "Gran Premio F1 (Italian bootleg of Pole Position II)"
 3 pacland           "Pac-Land (World)"
 3 paclandj          "Pac-Land (Japan new)"
 3 paclandjo         "Pac-Land (Japan old)"
 3 paclandjo2        "Pac-Land (Japan older)"
 3 paclandm          "Pac-Land (Midway)"
 3 drgnbstr          "Dragon Buster"
 3 skykid            "Sky Kid (new version)"
 3 skykido           "Sky Kid (old version)"
 3 skykidd           "Sky Kid (CUS60 version)"
 3 skykids           "Sky Kid (Sipem)"
 3 aliensec          "Alien Sector"
 3 baraduke          "Baraduke"
 3 metrocrs          "Metro-Cross (set 1)"
 3 metrocrsa         "Metro-Cross (set 2)"
 3 hopmappy          "Hopping Mappy"
 3 skykiddx          "Sky Kid Deluxe (set 1)"
 3 skykiddxo         "Sky Kid Deluxe (set 2)"
 3 roishtar          "The Return of Ishtar"
 3 genpeitd          "Genpei ToumaDen"
 3 rthunder          "Rolling Thunder (new version)"
 3 rthundero         "Rolling Thunder (old version)"
 3 wndrmomo          "Wonder Momo"
 3 tceptor           "Thunder Ceptor"
 3 tceptor2          "Thunder Ceptor II"
 3 kungfur           "Kung Fu Roushi"
 3 shadowld          "Shadowland"
 3 youkaidk          "Yokai Douchuuki (Japan new version)"
 3 youkaidko         "Yokai Douchuuki (Japan old version)"
 3 dspirit           "Dragon Spirit (new version)"
 3 dspirito          "Dragon Spirit (old version)"
 3 dspirita          "Dragon Spirit (Atari license)"
 3 blazer            "Blazer (Japan)"
 3 quester           "Quester (Japan)"
 3 questers          "Quester Special Edition (Japan)"
 3 pacmania          "Pac-Mania"
 3 pacmaniaj         "Pac-Mania (Japan)"
 3 galaga88          "Galaga '88"
 3 galaga88j         "Galaga '88 (Japan)"
 3 ws                "World Stadium (Japan)"
 3 berabohm          "Beraboh Man (Japan version C)"
 3 berabohmo         "Beraboh Man (Japan version B)"
 3 mmaze             "Marchen Maze (Japan)"
 3 bakutotu          "Bakutotsu Kijuutei"
 3 wldcourt          "World Court (Japan)"
 3 splatter          "Splatter House (World new version)"
 3 splattero         "Splatter House (World old version)"
 3 splatterj         "Splatter House (Japan)"
 3 faceoff           "Face Off (Japan)"
 3 rompers           "Rompers (Japan)"
 3 romperso          "Rompers (Japan old version)"
 3 blastoff          "Blast Off (Japan)"
 3 ws89              "World Stadium '89 (Japan)"
 3 dangseed          "Dangerous Seed (Japan)"
 3 ws90              "World Stadium '90 (Japan)"
 3 pistoldm          "Pistol Daimyo no Bouken (Japan)"
 3 boxyboy           "Boxy Boy (US)"
 3 soukobdx          "Souko Ban Deluxe (Japan)"
 3 puzlclub          "Puzzle Club (Japan prototype)"
 3 tankfrce          "Tank Force (US, 2 Player)"
 3 tankfrce4         "Tank Force (US, 4 Player)"
 3 tankfrcej         "Tank Force (Japan)"
 3 finallap          "Final Lap (Rev E)"
 3 finallapd         "Final Lap (Rev D)"
 3 finallapc         "Final Lap (Rev C)"
 3 finallapjc        "Final Lap (Japan - Rev C)"
 3 finallapjb        "Final Lap (Japan - Rev B)"
 3 assault           "Assault"
 3 assaultj          "Assault (Japan)"
 3 assaultp          "Assault Plus (Japan)"
 3 metlhawk          "Metal Hawk"
 3 metlhawkj         "Metal Hawk (Japan)"
 3 ordyne            "Ordyne (Japan, English Version)"
 3 ordynej           "Ordyne (Japan)"
 3 mirninja          "Mirai Ninja (Japan)"
 3 phelios           "Phelios (Japan)"
 3 dirtfoxj          "Dirt Fox (Japan)"
 3 fourtrax          "Four Trax"
 3 valkyrie          "Valkyrie No Densetsu (Japan)"
 3 finehour          "Finest Hour (Japan)"
 3 burnforc          "Burning Force (Japan new version)"
 3 burnforco         "Burning Force (Japan old version)"
 3 marvland          "Marvel Land (US)"
 3 marvlandj         "Marvel Land (Japan)"
 3 kyukaidk          "Kyuukai Douchuuki (Japan new version)"
 3 kyukaidko         "Kyuukai Douchuuki (Japan old version)"
 3 dsaber            "Dragon Saber"
 3 dsaberj           "Dragon Saber (Japan)"
 3 finalap2          "Final Lap 2"
 3 finalap2j         "Final Lap 2 (Japan)"
 3 gollygho          "Golly! Ghost!"
 3 rthun2            "Rolling Thunder 2"
 3 rthun2j           "Rolling Thunder 2 (Japan)"
 3 sgunner           "Steel Gunner"
 3 sgunnerj          "Steel Gunner (Japan)"
 3 sgunner2          "Steel Gunner 2 (US)"
 3 sgunner2j         "Steel Gunner 2 (Japan)"
 3 cosmogng          "Cosmo Gang the Video (US)"
 3 cosmogngj         "Cosmo Gang the Video (Japan)"
 3 bubbletr          "Bubble Trouble (Japan)"
 3 finalap3          "Final Lap 3 (World, set 1)"
 3 finalap3a         "Final Lap 3 (World, set 2)"
 3 finalap3j         "Final Lap 3 (Japan)"
 3 finalap3jc        "Final Lap 3 (Japan - Rev C)"
 3 luckywld          "Lucky & Wild"
 3 luckywldj         "Lucky & Wild (Japan)"
 3 suzuka8h          "Suzuka 8 Hours (World)"
 3 suzuka8hj         "Suzuka 8 Hours (Japan)"
 3 sws               "Super World Stadium (Japan)"
 3 sws92             "Super World Stadium '92 (Japan)"
 3 sws92g            "Super World Stadium '92 Gekitouban (Japan)"
 3 suzuk8h2          "Suzuka 8 Hours 2 (World)"
 3 sws93             "Super World Stadium '93 (Japan)"
 3 speedrcr          "Speed Racer"
 3 finalapr          "Final Lap R (Rev. B)"
 3 finalaprj         "Final Lap R (Japan Rev. C)"
 3 finalapro         "Final Lap R"
 3 bkrtmaq           "Bakuretsu Quiz Ma-Q Dai Bouken (Japan)"
 3 cgangpzl          "Cosmo Gang the Puzzle (US)"
 3 cgangpzlj         "Cosmo Gang the Puzzle (Japan)"
 3 exvania           "Exvania (Japan)"
 3 fghtatck          "Fighter & Attacker (US)"
 3 fa                "F/A (Japan)"
 3 knckhead          "Knuckle Heads (World)"
 3 knckheadj         "Knuckle Heads (Japan)"
 3 swcourt           "Super World Court (World)"
 3 swcourtj          "Super World Court (Japan)"
 3 emeralda          "Emeraldia (World)"
 3 emeraldaj         "Emeraldia (Japan Version B)"
 3 emeraldaja        "Emeraldia (Japan)"
 3 numanath          "Numan Athletics (World)"
 3 numanathj         "Numan Athletics (Japan)"
 3 quiztou           "Nettou! Gekitou! Quiztou!! (Japan)"
 3 tinklpit          "Tinkle Pit (Japan)"
 3 xday2             "X-Day 2 (Japan)"
 3 nebulray          "Nebulas Ray (World, NR2)"
 3 nebulrayj         "Nebulas Ray (Japan, NR1)"
 3 ptblank           "Point Blank (World, GN2 Rev B)"
 3 gunbuletj         "Gun Bullet (Japan, GN1)"
 3 gunbuletw         "Gun Bullet (World, GN3 Rev B)"
 3 gslugrsj          "Great Sluggers (Japan)"
 3 gslgr94u          "Great Sluggers '94"
 3 gslgr94j          "Great Sluggers '94 (Japan)"
 3 sws95             "Super World Stadium '95 (Japan)"
 3 sws96             "Super World Stadium '96 (Japan)"
 3 sws97             "Super World Stadium '97 (Japan)"
 3 vshoot            "J-League Soccer V-Shoot (Japan)"
 3 outfxies          "Outfoxies (World, OU2)"
 3 outfxiesj         "Outfoxies (Japan, OU1)"
 3 machbrkr          "Mach Breakers - Numan Athletics 2 (Japan)"
 3 ncv1              "Namco Classic Collection Vol.1"
 3 ncv1j             "Namco Classic Collection Vol.1 (Japan, v1.00)"
 3 ncv1j2            "Namco Classic Collection Vol.1 (Japan, v1.03)"
 3 ncv2              "Namco Classic Collection Vol.2"
 3 ncv2j             "Namco Classic Collection Vol.2 (Japan)"
 3 winrun            "Winning Run Suzuka Grand Prix (Japan)"
 3 winrun91          "Winning Run 91 (Japan)"
 3 solvalou          "Solvalou (Japan)"
 3 starblad          "Starblade (Japan)"
 3 driveyes          "Driver's Eyes (US)"
 3 aircomb           "Air Combat (US)"
 3 aircombj          "Air Combat (Japan)"
 3 cybsled           "Cyber Sled (US)"
 3 cybsledj          "Cyber Sled (Japan)"
 3 gal3              "Galaxian 3 - Theater 6 : Project Dragoon"
 3 ridgerac          "Ridge Racer (Rev. RR3, World)"
 3 ridgeracb         "Ridge Racer (Rev. RR2, World)"
 3 ridgeracj         "Ridge Racer (Rev. RR1, Japan)"
 3 ridgerac3         "Ridge Racer (3 Screen? Rev. RR2, World)"
 3 rrf               "Ridge Racer (Full Scale, 1993-12-13, World)"
 3 acedrvrw          "Ace Driver (Rev. AD2, World)"
 3 alpinerd          "Alpine Racer (Rev. AR2 Ver.D)"
 3 alpinerc          "Alpine Racer (Rev. AR2 Ver.C)"
 3 ridgera2          "Ridge Racer 2 (Rev. RRS2, US)"
 3 ridgera2j         "Ridge Racer 2 (Rev. RRS1, Ver.B, Japan)"
 3 ridgera2ja        "Ridge Racer 2 (Rev. RRS1, Japan)"
 3 raveracw          "Rave Racer (Rev. RV2, World)"
 3 raveracj          "Rave Racer (Rev. RV1 Ver.B, Japan)"
 3 raveracja         "Rave Racer (Rev. RV1, Japan)"
 3 airco22b          "Air Combat 22 (Rev. ACS1 Ver.B, Japan)"
 3 alpinr2b          "Alpine Racer 2 (Rev. ARS2 Ver.B)"
 3 alpinr2a          "Alpine Racer 2 (Rev. ARS2 Ver.A)"
 3 cybrcomm          "Cyber Commando (Rev. CY1, Japan)"
 3 cybrcycc          "Cyber Cycles (Rev. CB2 Ver.C)"
 3 timecris          "Time Crisis (Rev. TS2 Ver.B)"
 3 timecrisa         "Time Crisis (Rev. TS2 Ver.A)"
 3 dirtdash          "Dirt Dash (Rev. DT2)"
 3 victlapw          "Ace Driver: Victory Lap (Rev. ADV2, World)"
 3 alpinesa          "Alpine Surfer (Rev. AF2 Ver.A)"
 3 propcycl          "Prop Cycle (Rev. PR2 Ver.A)"
 3 tokyowar          "Tokyo Wars (Rev. TW2 Ver.A)"
 3 aquajet           "Aqua Jet (Rev. AJ2 Ver.B)"
 3 finlflng          "Final Furlong (FF2 Ver. A)"
 3 motoxgo           "Motocross Go! (MG3 Ver. A)"
 3 rapidrvr          "Rapid River (RD3 Ver. C)"
 3 rapidrvr2         "Rapid River (RD2 Ver. C)"
 3 downhill          "Downhill Bikers (DH3 Ver. A)"
 3 timecrs2          "Time Crisis 2 (TSS3 Ver. B)"
 3 timecrs2b         "Time Crisis 2 (TSS2 Ver. B)"
 3 timecrs2c         "Time Crisis 2 (TSS4 Ver. A)"
 3 panicprk          "Panic Park (PNP2 Ver. A)"
 3 raceon            "Race On! (RO2 Ver. A)"
 3 gunwars           "Gunmen Wars (GM1 Ver. A)"
 3 500gp             "500 GP (5GP3 Ver. C)"
 3 finfurl2          "Final Furlong 2 (World)"
 3 finfurl2j         "Final Furlong 2 (Japan)"
 3 crszone           "Crisis Zone (CSZO3 Ver. B)"
 3 crszonea          "Crisis Zone (CSZO2 Ver. A)"
 3 crszoneb          "Crisis Zone (CSZO4 Ver. B)"
 3 sys246            "System 246 BIOS"
 3 rrvac             "Ridge Racer V Arcade Battle (RRV3 Ver. A)"
 3 dragchrn          "Dragon Chronicles (DC001 Ver. A)"
 3 netchu02          "Netchuu Pro Yakyuu 2002 (NPY1 Ver. A)"
 3 scptour           "Smash Court Pro Tournament (SCP1)"
 3 soulclb2          "Soul Calibur II (SC23 Ver. A)"
 3 soulcl2a          "Soul Calibur II (SC22 Ver. A)"
 3 soulcl2b          "Soul Calibur II (SC21 Ver. A)"
 3 tekken4           "Tekken 4 (TEF3 Ver. C)"
 3 tekken4a          "Tekken 4 (TEF2 Ver. A)"
 3 tekken4b          "Tekken 4 (TEF1 Ver. A)"
 3 timecrs3          "Time Crisis 3 (TST1)"
 3 zgundm            "Mobile Suit Z-Gundam: A.E.U.G. vs Titans (ZGA1 Ver. A)"
 3 fghtjam           "Capcom Fighting Jam (JAM1 Ver. A)"
 3 sukuinuf          "Quiz and Variety Suku Suku Inufuku 2 (IN2 Ver. A)"
 3 zgundmdx          "Mobile Suit Z-Gundam: A.E.U.G. vs Titans DX (ZDX1 Ver. A)"
 3 gundzaft          "Gundam Seed: Federation vs. Z.A.F.T. (SED1 Ver. A)"
 3 soulclb3          "Soul Calibur III (SC31001-NA-A)"
 3 sys256            "System 256 BIOS"
 3 tekken51          "Tekken 5.1 (TE51 Ver. B)"
 3 kinniku           "Kinnikuman Muscle Grand Prix (KN1 Ver. A)"
 3 taiko9            "Taiko No Tatsujin 9 (TK91001-NA-A)"
 3 taiko10           "Taiko No Tatsujin 10 (T101001-NA-A)"
 3 25pacman          "Pac-Man - 25th Anniversary Edition (Rev 2.00)"
 3 20pacgal          "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)"
 3 20pacgalr4        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)"
 3 20pacgalr3        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)"
 3 20pacgalr2        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)"
 3 20pacgalr1        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)"
 3 20pacgalr0        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)"
 3 turrett           "Turret Tower"
 3 cosmicg           "Cosmic Guerilla"
 3 cosmica           "Cosmic Alien (version II)"
 3 cosmica1          "Cosmic Alien (first version)"
 3 cosmica2          "Cosmic Alien (early version II?)"
 3 nomnlnd           "No Man's Land"
 3 nomnlndg          "No Man's Land (Gottlieb)"
 3 magspot           "Magical Spot"
 3 magspot2          "Magical Spot II"
 3 panic             "Space Panic (version E)"
 3 panic2            "Space Panic (set 2)"
 3 panic3            "Space Panic (set 3)"
 3 panich            "Space Panic (harder)"
 3 panicger          "Space Panic (German)"
 3 devzone           "Devil Zone"
 3 devzone2          "Devil Zone (easier)"
 3 cheekyms          "Cheeky Mouse"
 3 zerohour          "Zero Hour (set 1)"
 3 zerohoura         "Zero Hour (set 2)"
 3 redclash          "Red Clash (set 1)"
 3 redclasha         "Red Clash (set 2)"
 3 redclashk         "Red Clash (Kaneko)"
 3 cavenger          "Cosmic Avenger"
 3 ladybug           "Lady Bug"
 3 ladybugb          "Lady Bug (bootleg set 1)"
 3 ladybgb2          "Lady Bug (bootleg set 2)"
 3 snapjack          "Snap Jack"
 3 sraider           "Space Raider"
 3 dorodon           "Dorodon (set 1)"
 3 dorodon2          "Dorodon (set 2)"
 3 mrdo              "Mr. Do!"
 3 mrdoy             "Mr. Do! (prototype)"
 3 mrdot             "Mr. Do! (Taito)"
 3 mrdofix           "Mr. Do! (bugfixed)"
 3 mrlo              "Mr. Lo!"
 3 mrdu              "Mr. Du!"
 3 yankeedo          "Yankee DO!"
 3 docastle          "Mr. Do's Castle (set 1)"
 3 docastle2         "Mr. Do's Castle (set 2)"
 3 docastleo         "Mr. Do's Castle (older)"
 3 douni             "Mr. Do vs. Unicorns"
 3 dorunrun          "Do! Run Run (set 1)"
 3 dorunrun2         "Do! Run Run (set 2)"
 3 dorunrunc         "Do! Run Run (Do's Castle hardware, set 1)"
 3 dorunrunca        "Do! Run Run (Do's Castle hardware, set 2)"
 3 spiero            "Super Pierrot (Japan)"
